"ds_anon_user_id","module","meantimeToQuiz","nsessions","ndays","npages","nactivities","timeInModule","endToQuiz","meanSessionDiff","quizGrade","pretestGrade","examGrade","Nwords","Nactivities","Npages","crammers"
"Stu_0515bd95ab0b6d6b4c121b85c3ed63f7",1,4118.12266238401,4,3,68,74,7977.14166666667,7111.825,188474.2,9,12,35,18754,79,27,"Non-Crammer"
"Stu_0515bd95ab0b6d6b4c121b85c3ed63f7",2,7015.7782051282,5,5,17,19,4275.1,17618.6833333333,200544.428571429,10,12,35,9546,74,25,"Non-Crammer"
"Stu_0515bd95ab0b6d6b4c121b85c3ed63f7",3,22386.5333333333,1,1,3,0,0.166666666666667,22386.4666666667,502070.6,10,12,35,12785,74,26,"Crammer"
"Stu_0515bd95ab0b6d6b4c121b85c3ed63f7",4,3.54333333333333,1,1,5,0,0.75,3.03333333333333,132,9,12,35,9638,63,3,"Crammer"
"Stu_058b5d9c714836bf25b7ebb07bbe6498",1,1846.21282700422,6,4,34,79,7732.93333333333,899.233333333333,92757.8,10,15,28,18754,79,27,"Non-Crammer"
"Stu_058b5d9c714836bf25b7ebb07bbe6498",2,4073.64644808743,2,2,29,74,1378.01666666667,3866.46666666667,198821.5,9,15,28,9546,74,25,"Non-Crammer"
"Stu_058b5d9c714836bf25b7ebb07bbe6498",3,2706.39111796982,2,1,30,74,525.383333333333,2446.66666666667,353506,8,15,28,12785,74,26,"Non-Crammer"
"Stu_058b5d9c714836bf25b7ebb07bbe6498",4,4548.5727739726,1,1,9,61,177.716666666667,4459.51666666667,428772,9,15,28,9638,63,3,"Crammer"
"Stu_058b5d9c714836bf25b7ebb07bbe6498",5,6445.74876237624,3,2,17,29,1516.91666666667,5704.21666666667,207601,10,15,28,14163,29,18,"Non-Crammer"
"Stu_058b5d9c714836bf25b7ebb07bbe6498",6,340.891835871404,4,3,27,79,8411.4,60.7,200983.5,9,15,28,17373,80,20,"Non-Crammer"
"Stu_058b5d9c714836bf25b7ebb07bbe6498",7,620.554361702128,4,3,40,74,7097.88333333333,62.0666666666667,133242.75,10,15,28,15293,74,10,"Non-Crammer"
"Stu_058b5d9c714836bf25b7ebb07bbe6498",8,961.753658536585,1,1,15,39,264.483333333333,835.316666666667,1297597,8,15,28,11582,39,10,"Crammer"
"Stu_058b5d9c714836bf25b7ebb07bbe6498",9,915.766666666667,2,2,10,37,1548.45,140.033333333333,65495,10,15,28,12430,37,14,"Non-Crammer"
"Stu_058b5d9c714836bf25b7ebb07bbe6498",10,1162.53738738739,2,1,12,53,392.45,1056.76666666667,138642.5,10,15,28,14635,56,18,"Non-Crammer"
"Stu_058b5d9c714836bf25b7ebb07bbe6498",11,7495.50978835979,1,1,3,9,55.2666666666667,7471.55,330,10,15,28,3043,9,2,"Crammer"
"Stu_05fd3d61057e71c290929ceee408f64b",2,631.23,2,2,3,3,663.866666666667,31.7166666666667,22078,9,11,27,9546,74,25,"Non-Crammer"
"Stu_05fd3d61057e71c290929ceee408f64b",3,13946.8133333333,5,5,5,0,21674.9833333333,4.9,312525.8,6,11,27,12785,74,26,"Non-Crammer"
"Stu_05fd3d61057e71c290929ceee408f64b",4,356.177369281046,3,2,10,44,937.3,0.0666666666666667,196561,8,11,27,9638,63,3,"Non-Crammer"
"Stu_05fd3d61057e71c290929ceee408f64b",5,1058.64550653595,5,3,15,28,2585.75,3.9,122844.4,10,11,27,14163,29,18,"Non-Crammer"
"Stu_05fd3d61057e71c290929ceee408f64b",6,948.889016115352,4,2,20,79,1951.95,10.7166666666667,68258.75,10,11,27,17373,80,20,"Non-Crammer"
"Stu_05fd3d61057e71c290929ceee408f64b",7,915.500881834215,7,4,15,27,7013.81666666667,140.383333333333,149362.25,5,11,27,15293,74,10,"Non-Crammer"
"Stu_05fd3d61057e71c290929ceee408f64b",8,12155.2239361702,6,4,19,35,6732.43333333333,9233.85,67332.8333333333,9,11,27,11582,39,10,"Non-Crammer"
"Stu_05fd3d61057e71c290929ceee408f64b",9,1236.93940217391,7,2,17,37,2055,4.25,76503.75,8,11,27,12430,37,14,"Non-Crammer"
"Stu_05fd3d61057e71c290929ceee408f64b",10,1491.31927437642,7,3,19,56,3463.28333333333,52.45,28557.8571428571,10,11,27,14635,56,18,"Non-Crammer"
"Stu_05fd3d61057e71c290929ceee408f64b",11,2727.03512820513,3,2,5,9,2462.55,2573.46666666667,200080.666666667,9,11,27,3043,9,2,"Non-Crammer"
"Stu_069c17c7800fcf9ae3dc06c477c91c6f",1,859.061654733492,3,2,28,79,1722.18333333333,7.21666666666667,196904.428571429,9,18,33,18754,79,27,"Non-Crammer"
"Stu_069c17c7800fcf9ae3dc06c477c91c6f",2,2275.16661958569,2,2,13,74,4047.71666666667,104.016666666667,386163.5,10,18,33,9546,74,25,"Non-Crammer"
"Stu_069c17c7800fcf9ae3dc06c477c91c6f",3,4588.41682427108,2,2,31,72,11575.3166666667,7.8,766556,9,18,33,12785,74,26,"Non-Crammer"
"Stu_069c17c7800fcf9ae3dc06c477c91c6f",4,83.6240885416667,1,1,9,56,125.3,0.883333333333333,526508,10,18,33,9638,63,3,"Crammer"
"Stu_069c17c7800fcf9ae3dc06c477c91c6f",5,136.969457364341,2,1,36,28,277.7,1.6,6079,10,18,33,14163,29,18,"Non-Crammer"
"Stu_069c17c7800fcf9ae3dc06c477c91c6f",6,14.0776729559748,1,1,9,14,26.25,2.18333333333333,365781.5,10,18,33,17373,80,20,"Crammer"
"Stu_069c17c7800fcf9ae3dc06c477c91c6f",7,91.7678571428571,1,1,21,34,220.733333333333,0.0333333333333333,266669.5,9,18,33,15293,74,10,"Crammer"
"Stu_069c17c7800fcf9ae3dc06c477c91c6f",8,15.5324324324324,1,1,8,7,25.1833333333333,0.266666666666667,129,9,18,33,11582,39,10,"Crammer"
"Stu_069c17c7800fcf9ae3dc06c477c91c6f",9,108.88865877712,2,1,13,36,700.833333333333,7.15,175796.666666667,10,18,33,12430,37,14,"Non-Crammer"
"Stu_069c17c7800fcf9ae3dc06c477c91c6f",11,17292.1671497585,1,1,3,9,24.3333333333333,17282.5333333333,51479,10,18,33,3043,9,2,"Crammer"
"Stu_069c17c7800fcf9ae3dc06c477c91c6f",10,34.273434856176,1,1,9,40,98.65,1.55,28,9,18,33,14635,56,18,"Crammer"
"Stu_06e530a6ca9089a04f30000a3927ae26",1,1188.9539039039,2,2,30,20,4698.65,0.85,268307.666666667,10,18,33,18754,79,27,"Non-Crammer"
"Stu_06e530a6ca9089a04f30000a3927ae26",2,19.2820788530466,1,1,46,21,38.3166666666667,2.18333333333333,1072460,10,18,33,9546,74,25,"Crammer"
"Stu_06e530a6ca9089a04f30000a3927ae26",3,43.2613924050633,1,1,56,18,66.95,1.96666666666667,297411.5,9,18,33,12785,74,26,"Crammer"
"Stu_06e530a6ca9089a04f30000a3927ae26",4,132.535209235209,2,1,16,46,181.1,1.61666666666667,205279.666666667,10,18,33,9638,63,3,"Non-Crammer"
"Stu_06e530a6ca9089a04f30000a3927ae26",5,61.966266025641,1,1,25,23,114.833333333333,1.75,36,9,18,33,14163,29,18,"Crammer"
"Stu_06e530a6ca9089a04f30000a3927ae26",6,31.9699902248289,1,1,25,42,59.8333333333333,0.233333333333333,648852,8,18,33,17373,80,20,"Crammer"
"Stu_06e530a6ca9089a04f30000a3927ae26",8,19.6072916666667,1,1,10,1,16.8833333333333,11,248968.5,7,18,33,11582,39,10,"Crammer"
"Stu_06e530a6ca9089a04f30000a3927ae26",9,11.6344444444444,1,1,9,2,24.6166666666667,0.8,23,10,18,33,12430,37,14,"Crammer"
"Stu_06e530a6ca9089a04f30000a3927ae26",10,18.4851851851852,1,1,9,0,20.15,5.76666666666667,403505.333333333,10,18,33,14635,56,18,"Crammer"
"Stu_06e530a6ca9089a04f30000a3927ae26",11,7.93333333333333,1,1,2,0,1.76666666666667,7.05,200,10,18,33,3043,9,2,"Crammer"
"Stu_0776e97955212ea3e476e6e3b189fefc",2,4784.18102162565,3,2,21,74,1489.23333333333,4307.51666666667,31915.6666666667,8,7,32,9546,74,25,"Non-Crammer"
"Stu_0776e97955212ea3e476e6e3b189fefc",3,5305.89356388088,6,6,26,56,8313.76666666667,3031.06666666667,142656.5,10,7,32,12785,74,26,"Non-Crammer"
